EVENT	TDC1	TRIG
13639	878062	881002
13670	1408534	1412027
13703	1735418	1738411
13718	207580	210515
13766	1740318	1743503
13775	1765365	1768367
13783	1803819	1806898
13817	1014407	1017357
13859	360866	363988
13872	1382035	1385252
13873	814518	817313
13921	1700965	1704213
13925	1689586	1692558
13940	12802	16114
13989	112894	116136
14071	431871	435126
14078	2068722	2071698
14087	869709	872644
14092	382944	386033
14174	807192	810853
14175	730412	733387
14177	259298	262673
14178	965034	968000
14181	412046	415090
14190	1926075	1929017
14200	1493042	1496381
14234	336057	339257
14235	1131735	1134753
14277	762727	765789
14309	798053	800996
14329	318894	321846
14402	554912	557877
14406	1956724	1959701
14459	1090871	1094177
14480	1897567	1900937
14493	1328076	1331075
14507	317401	320405
14611	1906337	1909590
14620	745590	748633
14716	715494	718416
14728	1707925	1711013
14729	1908878	1911834
14765	1828453	1831321
14815	86746	89704
14825	1625025	1628601
14838	579935	582952
14854	853579	856588
14872	1133487	1136453
14873	921298	924231
14938	31307	34501
14993	1110437	1113413
15001	1848018	1851344
15016	1484054	1487428
15039	551946	555591
15079	1348577	1351878
15103	1113242	1116206
15107	808090	811074
15110	1349900	1353150
15111	425470	428444
15116	1616764	1620038
15126	1198508	1201477
15161	1442879	1446028
15165	1287501	1290929
15177	395874	398963
15210	57069	60054
15240	1785346	1788336
15322	1134361	1137583
15330	472571	475534
15337	815811	818741
15382	1013784	1016809
15417	90131	93078
15420	778875	781873
15427	1508573	1511515
15476	536318	539302
15488	1782390	1785519
15542	1720642	1723657
15549	760887	764077
15566	740169	743193
15599	336242	339705
15604	1434657	1438117
15612	1176506	1179709
15621	504102	507757
15626	192729	195986
15665	2082401	2085992
15688	2001447	2004421
15726	1241090	1244429
15733	465759	468705
15743	884234	887621
15750	824938	827929
15759	2091877	2095099
15769	3466	6752
15794	505699	508662
15830	789118	792054
15832	486564	489626
15845	646459	649654
15846	1340496	1343522
15848	337159	340402
15865	1731000	1734212
15960	897458	900653
16010	212948	216063
16022	17241	20447
16030	1872481	1875645
16066	1045420	1048586
16071	1258870	1262102
16072	165254	168272
16090	1756104	1759062
16101	1294055	1297529
16110	1952279	1955252
16140	1614878	1618206
16160	333606	336608
16175	137923	140874
16193	1717574	1721317
16242	1695901	1699226
16244	822402	825392
16245	966447	970164
16299	512597	515612
16335	1533120	1536035
16350	1409369	1412808
16366	1019833	1022813
16367	848794	851876
16451	1078365	1081332
16467	568554	571841
16471	66399	69626
16547	1876795	1879803
16551	1013387	1016688
16610	1632145	1635704
16612	14751	18148
16632	302473	305669
16635	585017	587985
16649	1061491	1064676
16680	1599137	1602133
16690	529782	532949
16719	455062	458026
16743	274894	278401
16777	443357	446687
16798	1693269	1696521
16827	1178407	1181322
16828	1944116	1947782
16856	547756	550720
16858	182002	185385
16863	1026586	1029492
16886	327299	330444
16892	307622	310850
16907	889610	892557
16910	1754193	1757322
16946	486898	490001
16952	46544	49488
16953	1775065	1778441
16954	621990	625100
16957	1219266	1222365
16981	464890	467937
17040	672658	675615
17068	171961	174866
17157	981963	985003
17170	1674862	1678013
17172	1742343	1745305
17180	657281	660483
17234	1380401	1383362
17262	1594046	1597014
17288	338471	341430
17309	574501	577465
17319	239359	242355
17324	841760	844780
