EVENT	TDC1	TRIG
2028	1543325	1546665
2031	1377115	1380162
2033	682011	685321
2034	1329810	1332828
2035	2059040	2062154
2036	1633919	1636968
2038	55116	58245
2040	1533424	1536557
2041	714696	718064
2043	1710430	1713472
2044	1463446	1466479
2045	669166	672508
2047	1880460	1884026
2048	414591	417910
2053	2094462	363
2054	1462753	1465780
2056	712207	715633
2057	820052	823263
2058	40658	43822
2059	1324177	1327686
2063	147342	150593
2066	990404	993548
2068	733117	736359
2069	517212	520428
2071	4418	7815
2072	1683874	1687246
2073	2024881	2028179
2075	1766642	1769681
2076	119200	122435
2078	54728	58165
2085	1381810	1385012
2086	862477	865504
2088	1359933	1363094
2090	2045642	2048925
2091	1737672	1740723
2092	1497352	1500362
2093	177521	180557
2095	251383	254522
2096	896242	899287
