event	TDC0	TDC1
637	1341312	1341555
638	194891	195209
639	1682935	1682854
640	407166	407095
641	1912499	1912413
642	1046443	1046358
643	1312642	1312568
644	23388	23306
645	159477	159700
646	235912	236158
647	934220	934165
648	803860	803798
649	1386067	1385986
650	1386843	1386781
651	612427	612362
652	1760039	1759968
653	1196002	1195895
654	277214	277476
655	1948493	1948389
656	1361037	1361304
661	1799439	1799720
662	115022	114964
663	2051547	2051450
664	2048626	2048519
665	219684	220020
666	1375815	1375760
667	1682337	1682289
668	363716	363598
669	266191	266482
670	1842189	1842419
671	1958047	1957949
672	875235	875551
673	815804	815716
674	108443	108385
675	1657112	1657039
676	1023375	1023292
677	1452896	1452795
678	1643101	1643026
679	72065	71996
680	959874	959814
681	219549	219462
682	574300	574284
684	874799	874673
686	173711	173965
687	1003863	1003782
688	615938	615835
689	1866866	1866761
690	1385178	1385103
691	194281	194511
692	939555	939464
693	1013992	1013862
694	833261	833147
695	46601	46536
696	506499	506442
697	1267835	1267747
698	1101470	1101442
700	1795018	1794921
701	1970734	1970685
702	426411	426340
703	509668	509589
704	434143	434028
705	59430	59636
706	1804320	1804275
707	1137274	1137434
708	1074368	1074281
709	259042	258953
710	1129459	1129417
711	695596	695509
712	2025925	2025832
713	553819	553740
714	1062667	1062600
715	374978	374852
716	788940	789183
717	1513616	1513527
718	990153	990006
720	980224	980129
721	1359368	1359283
722	928398	928339
723	788816	788766
724	1778491	1778756
725	2077870	2077815
730	1770880	1771105
731	1162588	1162621
732	1509577	1509477
733	898418	898720
734	1378064	1377947
735	1273362	1273285
736	2018941	2018838
737	666481	666412
738	1279536	1279394
739	1379476	1379389
740	1730859	1730788
741	179547	179461
742	2088051	2088261
743	502338	502223
744	1108307	1108536
745	413839	413762
746	1741772	1741663
747	813900	814137
748	632496	632395
749	288084	287942
750	992776	992693
751	666608	666513
752	1508148	1508063
753	1381211	1381435
755	183912	183801
756	76699	76976
757	1888744	1889074
758	1450786	1450276
759	1713222	1713141
760	1624792	1624676
762	1736231	1736171
763	1082845	1082770
764	560828	560786
765	889907	889823
766	700528	700428
767	1142787	1142689
768	768982	768876
769	1767298	1767539
770	1687033	1686976
771	1240109	1240015
772	239131	239399
774	754198	754093
775	826678	826590
777	554340	554549
778	158572	158511
779	1040415	1040310
